step,tag,value
254,Train/Loss_step,2.6160576343536377
254,Train/Loss_step,2.568819999694824
255,Train/Loss_step,2.619208574295044
255,Train/Loss_step,2.607736349105835
256,Train/Loss_step,2.61629056930542
256,Train/Loss_step,2.582249879837036
257,Train/Loss_step,2.5942142009735107
257,Train/Loss_step,2.6102700233459473
258,Train/Loss_step,2.588657855987549
258,Train/Loss_step,2.5920488834381104
259,Train/Loss_step,2.5854690074920654
259,Train/Loss_step,2.588338851928711
260,Train/Loss_step,2.6161227226257324
260,Train/Loss_step,2.5861542224884033
261,Train/Loss_step,2.6325387954711914
261,Train/Loss_step,2.5896518230438232
262,Train/Loss_step,2.576270341873169
262,Train/Loss_step,2.58217716217041
263,Train/Loss_step,2.605316638946533
263,Train/Loss_step,2.59991455078125
264,Train/Loss_step,2.620043992996216
264,Train/Loss_step,2.5789268016815186
265,Train/Loss_step,2.617785692214966
265,Train/Loss_step,2.606023073196411
266,Train/Loss_step,2.6034786701202393
266,Train/Loss_step,2.577580451965332
267,Train/Loss_step,2.6043365001678467
267,Train/Loss_step,2.590569257736206
268,Train/Loss_step,2.6070384979248047
268,Train/Loss_step,2.5919487476348877
269,Train/Loss_step,2.580141544342041
269,Train/Loss_step,2.5941851139068604
270,Train/Loss_step,2.5430538654327393
270,Train/Loss_step,2.569166898727417
271,Train/Loss_step,2.598098039627075
271,Train/Loss_step,2.550654172897339
272,Train/Loss_step,2.615189790725708
272,Train/Loss_step,2.6387171745300293
273,Train/Loss_step,2.589560031890869
273,Train/Loss_step,2.5864317417144775
274,Train/Loss_step,2.5910091400146484
274,Train/Loss_step,2.51265287399292
275,Train/Loss_step,2.5497262477874756
275,Train/Loss_step,2.586622476577759
276,Train/Loss_step,2.5611250400543213
276,Train/Loss_step,2.587582588195801
277,Train/Loss_step,2.566894054412842
277,Train/Loss_step,2.592928886413574
278,Train/Loss_step,2.54761004447937
278,Train/Loss_step,2.564810276031494
279,Train/Loss_step,2.5648066997528076
279,Train/Loss_step,2.595834970474243
280,Train/Loss_step,2.5839109420776367
280,Train/Loss_step,2.6026782989501953
281,Train/Loss_step,2.5124850273132324
281,Train/Loss_step,2.604989528656006
282,Train/Loss_step,2.56343412399292
282,Train/Loss_step,2.592463970184326
283,Train/Loss_step,2.5872750282287598
283,Train/Loss_step,2.5985517501831055
284,Train/Loss_step,2.578629970550537
284,Train/Loss_step,2.5115904808044434
285,Train/Loss_step,2.595374345779419
285,Train/Loss_step,2.5993688106536865
286,Train/Loss_step,2.58742356300354
286,Train/Loss_step,2.607449769973755
287,Train/Loss_step,2.5228681564331055
287,Train/Loss_step,2.5315325260162354
288,Train/Loss_step,2.568253755569458
288,Train/Loss_step,2.5537214279174805
289,Train/Loss_step,2.5504536628723145
289,Train/Loss_step,2.5262062549591064
290,Train/Loss_step,2.6261496543884277
290,Train/Loss_step,2.5958266258239746
291,Train/Loss_step,2.585862159729004
291,Train/Loss_step,2.5157241821289062
292,Train/Loss_step,2.5585429668426514
292,Train/Loss_step,2.577962636947632
293,Train/Loss_step,2.5513315200805664
293,Train/Loss_step,2.6527271270751953
294,Train/Loss_step,2.5788261890411377
294,Train/Loss_step,2.5402438640594482
295,Train/Loss_step,2.572402238845825
295,Train/Loss_step,2.588967800140381
296,Train/Loss_step,2.5335655212402344
296,Train/Loss_step,2.575840711593628
297,Train/Loss_step,2.602154493331909
297,Train/Loss_step,2.5456314086914062
298,Train/Loss_step,2.5606815814971924
298,Train/Loss_step,2.57179594039917
299,Train/Loss_step,2.562955379486084
299,Train/Loss_step,2.5523018836975098
300,Train/Loss_step,2.5653791427612305
300,Train/Loss_step,2.588151454925537
301,Train/Loss_step,2.5700466632843018
301,Train/Loss_step,2.531827926635742
302,Train/Loss_step,2.5550806522369385
302,Train/Loss_step,2.5828981399536133
303,Train/Loss_step,2.567023277282715
303,Train/Loss_step,2.568391799926758
304,Train/Loss_step,2.5324954986572266
304,Train/Loss_step,2.522505283355713
305,Train/Loss_step,2.4982285499572754
305,Train/Loss_step,2.5560808181762695
306,Train/Loss_step,2.577505350112915
306,Train/Loss_step,2.5113494396209717
307,Train/Loss_step,2.5292105674743652
307,Train/Loss_step,2.5082554817199707
308,Train/Loss_step,2.56235933303833
308,Train/Loss_step,2.520576000213623
309,Train/Loss_step,2.518477201461792
309,Train/Loss_step,2.5174922943115234
310,Train/Loss_step,2.581718921661377
310,Train/Loss_step,2.502566337585449
311,Train/Loss_step,2.5368919372558594
311,Train/Loss_step,2.57507586479187
312,Train/Loss_step,2.562457323074341
312,Train/Loss_step,2.5345404148101807
313,Train/Loss_step,2.5300559997558594
313,Train/Loss_step,2.583157539367676
314,Train/Loss_step,2.5668485164642334
314,Train/Loss_step,2.537175178527832
315,Train/Loss_step,2.51259708404541
315,Train/Loss_step,2.579904556274414
316,Train/Loss_step,2.5634827613830566
316,Train/Loss_step,2.5409727096557617
317,Train/Loss_step,2.545850992202759
317,Train/Loss_step,2.5105135440826416
318,Train/Loss_step,2.5351510047912598
318,Train/Loss_step,2.5567328929901123
319,Train/Loss_step,2.550025224685669
319,Train/Loss_step,2.486232042312622
320,Train/Loss_step,2.538339376449585
320,Train/Loss_step,2.581787109375
321,Train/Loss_step,2.519200086593628
321,Train/Loss_step,2.5220203399658203
322,Train/Loss_step,2.5558478832244873
322,Train/Loss_step,2.5091912746429443
323,Train/Loss_step,2.573056221008301
323,Train/Loss_step,2.5363287925720215
324,Train/Loss_step,2.541797399520874
324,Train/Loss_step,2.526958465576172
325,Train/Loss_step,2.5480778217315674
325,Train/Loss_step,2.520782470703125
326,Train/Loss_step,2.495553970336914
326,Train/Loss_step,2.545539617538452
327,Train/Loss_step,2.5278635025024414
327,Train/Loss_step,2.5299031734466553
328,Train/Loss_step,2.4731814861297607
328,Train/Loss_step,2.535106897354126
329,Train/Loss_step,2.5307798385620117
329,Train/Loss_step,2.526688575744629
330,Train/Loss_step,2.5491228103637695
330,Train/Loss_step,2.507331371307373
331,Train/Loss_step,2.5043716430664062
331,Train/Loss_step,2.4931747913360596
332,Train/Loss_step,2.494682550430298
332,Train/Loss_step,2.493072509765625
333,Train/Loss_step,2.536808967590332
333,Train/Loss_step,2.52553129196167
334,Train/Loss_step,2.524505138397217
334,Train/Loss_step,2.506413698196411
335,Train/Loss_step,2.5347912311553955
335,Train/Loss_step,2.458502769470215
336,Train/Loss_step,2.5113234519958496
336,Train/Loss_step,2.50034499168396
337,Train/Loss_step,2.499346971511841
337,Train/Loss_step,2.5122976303100586
338,Train/Loss_step,2.5191891193389893
338,Train/Loss_step,2.4958319664001465
